time,open,high,low,close,volume
2025-07-22 08:35:00+00:00,1.16966,1.17035,1.16961,1.17015,687.0
2025-07-22 08:40:00+00:00,1.17012,1.17012,1.16974,1.1699,424.0
2025-07-22 08:45:00+00:00,1.1699,1.16994,1.16962,1.16979,489.0
2025-07-22 08:50:00+00:00,1.1698,1.17013,1.16969,1.16998,515.0
2025-07-22 08:55:00+00:00,1.16999,1.17,1.16971,1.16985,391.0
2025-07-22 09:00:00+00:00,1.16986,1.1703,1.16986,1.16994,585.0
2025-07-22 09:05:00+00:00,1.16996,1.17014,1.16975,1.16988,397.0
2025-07-22 09:10:00+00:00,1.16988,1.17014,1.16984,1.1699,386.0
2025-07-22 09:15:00+00:00,1.1699,1.17008,1.16979,1.17006,273.0
2025-07-22 09:20:00+00:00,1.17006,1.17024,1.17,1.17006,242.0
2025-07-22 09:25:00+00:00,1.17006,1.17017,1.1699,1.16995,347.0
2025-07-22 09:30:00+00:00,1.16994,1.17002,1.16958,1.1697,380.0
2025-07-22 09:35:00+00:00,1.1697,1.16972,1.16958,1.16958,306.0
2025-07-22 09:40:00+00:00,1.16956,1.1699,1.16934,1.1699,497.0
2025-07-22 09:45:00+00:00,1.16988,1.17022,1.16985,1.17012,248.0
2025-07-22 09:50:00+00:00,1.17012,1.17041,1.1701,1.17031,291.0
2025-07-22 09:55:00+00:00,1.1703,1.1707,1.1703,1.17054,387.0
2025-07-22 10:00:00+00:00,1.17055,1.17093,1.1704,1.1708,459.0
2025-07-22 10:05:00+00:00,1.17081,1.17094,1.17056,1.17056,297.0
2025-07-22 10:10:00+00:00,1.17056,1.17086,1.1705,1.17085,275.0
2025-07-22 10:15:00+00:00,1.17086,1.17094,1.17068,1.1707,238.0
2025-07-22 10:20:00+00:00,1.17068,1.17068,1.17046,1.1705,341.0
2025-07-22 10:25:00+00:00,1.17052,1.17056,1.17039,1.17044,252.0
2025-07-22 10:30:00+00:00,1.17044,1.17052,1.17008,1.17018,481.0
2025-07-22 10:35:00+00:00,1.1702,1.17034,1.1702,1.17026,283.0
2025-07-22 10:40:00+00:00,1.17027,1.17046,1.17018,1.17044,171.0
2025-07-22 10:45:00+00:00,1.17043,1.17043,1.17018,1.17018,183.0
2025-07-22 10:50:00+00:00,1.17018,1.17035,1.17012,1.17018,206.0
2025-07-22 10:55:00+00:00,1.17017,1.17025,1.16996,1.17018,448.0
2025-07-22 11:00:00+00:00,1.1702,1.17038,1.17009,1.17024,465.0
2025-07-22 11:05:00+00:00,1.17024,1.17033,1.17011,1.17018,218.0
2025-07-22 11:10:00+00:00,1.17017,1.17034,1.17014,1.1702,277.0
2025-07-22 11:15:00+00:00,1.1702,1.17034,1.17009,1.17018,406.0
2025-07-22 11:20:00+00:00,1.17018,1.17022,1.16993,1.16994,228.0
2025-07-22 11:25:00+00:00,1.16994,1.16994,1.16944,1.16966,396.0
2025-07-22 11:30:00+00:00,1.16966,1.17,1.16964,1.1699,295.0
2025-07-22 11:35:00+00:00,1.16991,1.17012,1.16964,1.16972,441.0
2025-07-22 11:40:00+00:00,1.16973,1.17004,1.16968,1.16998,532.0
2025-07-22 11:45:00+00:00,1.16998,1.17,1.16966,1.16974,541.0
2025-07-22 11:50:00+00:00,1.16974,1.16984,1.16967,1.1697,440.0
2025-07-22 11:55:00+00:00,1.16969,1.17034,1.16968,1.17014,799.0
2025-07-22 12:00:00+00:00,1.17013,1.1705,1.17013,1.17018,539.0
2025-07-22 12:05:00+00:00,1.17018,1.17018,1.1699,1.1699,300.0
2025-07-22 12:10:00+00:00,1.1699,1.17002,1.16952,1.16955,451.0
2025-07-22 12:15:00+00:00,1.16956,1.16958,1.16902,1.16912,398.0
2025-07-22 12:20:00+00:00,1.16912,1.1693,1.16876,1.16916,426.0
2025-07-22 12:25:00+00:00,1.16918,1.16926,1.16898,1.16904,370.0
2025-07-22 12:30:00+00:00,1.16902,1.16934,1.16887,1.16892,604.0
2025-07-22 12:35:00+00:00,1.1689,1.16922,1.16882,1.16896,421.0
